,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
2998,Rahi plant for the production of water treatment plants, 0114731180, 0114773358, raha@rahawater.com
2999,Gulf Radiators Factory , 0126352556, 026352556, gulfrad@icc.net.sa
3001,Gulf Radiators & Spare Parts Factory, 0126352590, 0126352556, gulfrad@icc.net.sa
3002,Reda Factory for Fire Fighting Equipment, 0138570091, 0138142463, abdulkareem.aljaroodi@redafie.com
3003,Rida Chemical Industries Factory, 0126533424, 0126511420, ssa@rezagroup.com
3004,Refa Saleh Al Qahtani Block Factory, 0144239399, 044239399, kingsaudi2009@hotmail.com
3005,International No. of Adhesive Tape Factory, 0114990707, 0114992727, khalid@ragam.net
3006,Gemini Corner Plastic Factory, 0114736266, 0112841708, NRNREW2009@HOTMAIL.COM
3007,Ramal Communications Factory , 0138123292, 0138123292, info@remalelectric.com
3008,Ramzi Aluminum Factory, 0138472151, 0138471290, ramzi@ramzial.com
3009,Rawabi Factory For Ice Cream & Sweets, 0114982111, 0114985650, rawabi_iceceream@hotmail.com
3010,Pioneer Ventilation Factory For Metal Industries, 0114482544, 0114460709, salahalshamri@live.com
3011,Factory masterpieces cans, 0126094141, 026094141, alabbaspac@hotmail.com
3013,Royal Factory for Sweets and Chocolate, 0126380728, 026380728, info@alnukaly.com
3014,Raoum Glass Factory , 0163230156, 063230156, raoote@gmail.com
3018,Al Rowad Glass Factory, 0172381199, 0172380339, afg727@hotmail.com
3019,Al Rowad Glass Factory, 0172381199, 0172380339, mohamedalamer@hotmail.com
3020,ZAKHRAF INTERNATIONAL FURNITURE FACTORY, 0138571616, 0138571919, s_k_f@hotmail.com
3021,Zery Gold Jewelery Factory, 0112651376, 0112651378, zaree_gold@hotmail.com
3022,Zalal Water Factory, 0112651061, 0112651062, noor@zulalwater.com
3023,JENZOGRAPH JEDDAH FACTORY FOR BLITS CLOTHES GARMENTS AND GIFTS, 0126437643, 026437643, m.alghamdi@zincograph.com.sa
3024,Zuhair Ahmed Zahran Factory For Manufacturing Industrial Marble, 0126659786, 026659786, omar@zazahran.com
3025,Zuhair Ahmed Zahran Wooden Products Factory, 0126659786, 026659786, omar@zazahran.com
3026,Zood Bakery & Bakery Factory, 0114919999, 0114933264, Am.alhaddad@othaimmarkets.com
3027,Riyadh Oils Factory, 0112075324, 0112071019, roextco@hotmail.com
3028,Riyadh Oils Factory, 0112070215, 0112071019, roextco@hotmail.com
3029,Arabian Oils Factory, 0126082258, 026082258, sainrex@yahoo.com
3030,Sar Plastic Factory, 0122687361, 0122687314, gamalkmt@gmail.com
3031,Sarah Factory For Medical & Laboratory Supplies, 0112650086, 0112650124, hswaidan@gmail.com
3032,Sarah Fiberglass Factory, 0114980051, 0114983246, sarafafactory@hotmail.com
3033,Salem Al Bahmar Plastic Factory, 0138121262, 0138127400, salem@salembhalhamer.com
3037,Salem Ayed Al Khatbi Plastic Factory, 0126094333, 026094333, fuad380@hotmail.com
3038,Salem Yahya Al Hammam Block & Ready Mix Concrete Factory, 0175422232, 075422232, rare_1551@hotmail.com
3039,Samer Mohamed Abu Ouf Air Conditioner Factory, 0148343896, 048343896, s.abuouf@hotmail.com
3040,Sami Abu Hijab Metal & Metal Industries Factory, 0172382597, 072382597, sami_959@yahoo.com
3041,A seven star factory for galvanizing and packaging plastic, 0138571850, 0138571820, maqsood@7starindustry.com
3042,Metal casting plant and copper plating, 0114981695, 0114984919, metal.brass@yahoo.com
3043,Star Food Factory for Potato Production, 0165382995, 065382995, sameer_ziad@yahoo.com
3045,Eastern Heaters Factory, 0138121158, 0138121158, abuaseen1955@hotmail.com
3046,Sadafco Ice Cream Factory , 0126293380, 026293380, TALAL.ALNONOU@SADAFCO.COM
3048,Sudair Furniture Factory, 0112654252, 0112654243, www.abo-loja111@hotmail.com
3049,Saad Al - Maqbool Stone Factory, 0172781161, 072781161, saad-gh2011@hotmail.com
3050,Saad Ahmed Al Ghamdi Foodstuff Factory, 0126376263, 026376263, emad@demad.net
3051,Saad Ahmed Al Ghamdi Foodstuff Factory, 0126355344, 0126376263, basil@alemad.net
3052,Saad Hussein Al - Hassaniyah Metal Slabs Factory, 0126748159, 026748159, a_s_alhasaniah@hotmail.com
3053,Saad Hussein Al - Husseini Stone & Marble Factory, 0172223557, 072223557, a_alhasaniah@hotmail.com
3054,Saad Salem Al Qahtani Plastic Factory, 0172382725, 0172239745, abo-shaiban002@hotmail.com
3055,Saad Abdullah Al - Hussainia Tiles & Marble Factory, 0172383799, 072383799, alhasaniah.factory@hotmail.com
3056,Saad Abdullah Fayez Al Sahli Petrochemicals Factory , 0114438610, 0114438611, saadsahli16@gmail.com
3057,Saad Mohammed Al - Mohammed Factory for Cement Products, 0172237708, 072237708, albeshry888@hotmail.com
3058,Saad Mohammed Al Shahrani Plastic Products Factory, 0172611717, 072611717, aldwulah@hotmail.com
3059,Saudi Brothers Air Conditioners Factory, 0112650432, 0112650489, alafco_saudiakhwan@hotmail.com
3060,Saeed Bawazeer Factory for Food Flavors and Spice Oils, 012643385, 0126423951, Abdulgaderbwz@sbtcgroup.com
3061,Saeed Bawazeer Factory for toothpaste and, 0126423951, 026423951, skathery@sbtcgroup.com
3062,Saeed Ali Al - Hajri Textile Paper Factory, 0172202203, 072202203, faris_factort@yahoo.com
3063,Saeed Ali Ghadran Plastic Pipes Factory , 0138121002, 0138121002, neais@awalnet.net.sa
3064,Saeed Omar Seriji Ceramic & Ceramic Products Factory, 0125447546, 025447546, serejy@yahoo.com
3065,Sky Factory For Chemicals, 0138150908, 0138150905, e.alneshmi@samachemglobal.com
3066,Safir factory to prepare and print maps, 0114980780, 0114980632, safirpress2008@yahoo.com
3067,Safir Factory for the production of luxury cans, 0126715083, 026715083, safeerluxurypack@hotmail.com
3068,Salama Chemical Factory (Barco), 0126370033, 026370033, maher.assad@balubaid.com.sa
3070,Sultan Socks Factory, 0114984535, 0114983539, falcon.sultan@hotmail.com
3071,Salman Jawhar Al Jawhar Factory For Accessories Production, 0112650212, 0112650192, wofoor@wofoor.com.sa
3072,Salman Jawhar Al Jawhar Factory for Gourmet Production, 0112655580, 0112655455, wofoor@wofoor.com.sa
3073,Salman Jawhar Al Jawhar Factory For Iron Rolling, 0112650212, 0112650192, ibrahims@gmail.com
3074,Salman Jouhar Essence Factory For Smelting Scrap, 0112655580, 0112655455, ibrahims@gmail.com
3076,Salman Jawhar essence factory for melting of scrap, 0112655580, 0112655455, wofoor@wofoor.com.sa
3077,Salman Jawhar Al Jawhar Factory For Sponge Steel , 0138480134, 0138480135, ibrahims@gmail.com
3080,Salman Jowhar essence factory for metal alloys, 0112355580, 0138480134, ibrahims@gmail.com
3082,Salman Jawhar Al Jawhar Steel Pipes & Pipes Factory, 0122650192, 022650192, ANGEL-AMER@HOTMAIL.COM
3083,Salman Jawhar Al Jawhar Steel Products Factory, 0126358192, 0126358144, angel-amer@hotmail.com
3085,Sulaiman Saleh Al Othaim Jewelery Factory, 0112650301, 0112650302, info@soj.com.sa
3086,Sulaiman Abdullah Makramesh Food Packaging & Packing Factory , 0172382551, 072382551, mugarmishms@yahoo.com
3087,Sulaiman Ali Al - Arini Metal Industries Factory, 0118104910, 0112140608, info@omi.com.sa
3088,Sulaiman Mohammed Al Talib Metal Packaging Factory, 0114236560, 0163251440, mtco99@hotmail.com
3090,Sama Al Arab Factory for Food Production, 0165431589, 065431589, ksb_en@yahoo.com
3091,Samadi Fertilizer Factory , 0148690261, 048690261, semady_co@yahoo.com
3092,Sama Al Atlal Steel Industries Factory, 0114387035, 0114387057, adel107@hotmail.com
3093,Samih Al Bashir & Co. For Steel Industries, 0112654800, 0112654700, samih@albashirsteel.net
3094,Samirouad Al Awfi Metal Products Factory, 0148367444, 048367444, sameeralofi@gmail.com
3095,Sondos Factory Preamble for Women 's Fabrics , 0114606667, 0114606667, tarfh@hotmail.com
3096,Shareem Plastic Factory, 0114572586, 0114584457, ampco@saudi.net.sa
3097,Shareem Paper and Aluminum Factory, 0114572586, 0114584457, ampco@saudi.net.sa
3098,Sehum Factory For Iron Rolling, 0138371714, 0138390289, aaaa@zajil.net
3099,Drilling Fluids Plant, 0138812229, 038812229, jf@uitc.com.sa
3100,Riyadh Ceramics Factory , 0112917855, 0112913597, est@gmail.com
3102,Sekab Water Filters Factory, 0163835524, 063835524, srab191@hotmail.com
3103,Sodium Silicate Factory Adwan Chemical Industries Branch Ltd., 0138121631, 0138121631, yahya@adwanchem.com
3105,Factory screens screens for electronic panels, 0112780242, 0112488720, info@topscreens.com.sa
3106,Shaheen Swimming Pool Equipment Factory, 0114983098, 0114985051, ahmadbt@bintaleb.com
3107,Shoubra Sweets Factory, 0112651487, 0112651486, mahmoud_abdalal@yahoo.com
3108,Factory Network Kitchens, 0165352604, 065352604, zoz-2002@hotmail.com
3109,Shehdan International Leather Bags Factory, 0126272555, 026272555, ms4sa@yahoo.com
3110,Al Itqan Steel Products & Galvanizing Products Factory, 0138121030, 0138121078, dwmfnn@gmail.com
3111,Factory Creativity Packaging, 0126369808, 026369808, naggar@creative-industrial.com
3112,Khalil Abdel Wahab Sons & Co. For Metal Industries, 0126080630, 026080630, rabi12@hotmail.com
3113,Atco Food Industries Factory, 0114797659, 0114727719, imran@aakgc.com
3114,Arak North Plastic Factory, 0144216400, 0144216400, b77er2@hotmail.com
3115,Artesia Furniture Factory, 0126604686, 026604686, info@ortansya.com
3116,Asas Factory For Technical Works Limited, 0126080888, 0126080512, info@sabtech.com.sa
3119,Alaa Aljazeera Elevators & Escalators Factory, 0138328708, 0138326567, kamal@alaaaljazeera.com
3120,El Etjaz Factory For Ready Mix Concrete & Balak, 0112488581, 0112488259, alejtiyaz1@yahoo.com
3121,AL - ATAYAF ELECTRICAL PRODUCTS CO, 0114620050, 0114623136, info@tri-spectrum.com
3122,El - Ejayaz Factory For Ready Mix Concrete, 0112488581, 0112488259, alejtiyaz@yahoo.com
3123,Al Ahhar Saudi Food Industries Factory, 0126082261, 026082261, it@aquatfoods.com
3124,Chemical Drying Chemical Company, 0112759967, 0112107511, alsageer-hvac@hotmail.com
3125,High Food Company Factory  , 0126365429, 026365429, info@refco.com.sa
3127,First Industrial Factory, 0112812777, 0112812727, abyan@ftc.com.sa
3128,AL BASHIR COMPANY FOR POLYURETHIN INSULATION INDUSTRIAL MARBLE AND FIBERGLASS, 0135821221, 035821221, albushaierco@yahoo.com
3129,Al Banawi Man Natural Flavors Factory Ltd., 0126518257, 026518257, abawazir@lazeezflavors.com
3130,Sublimation Company for Metal Products, 0112742177, 0112742177, altasami.tannery@gmail.com
3131,Green Technology Company for lighting and solar energy, 0112002807, 0112002807, oha444@gmail.com
3132,Golden Gold Development Co. Ltd., 0148367444, 048367444, goldendecompany@gmail.com
3133,Al Thira Teeba Cement Products Factory, 0148405993, 048405993, fahedi-21@hotmail.com
3134,Al - Tholithia Factory for the rocks, 0114982060, 0112562725, ramiishak@saudivetonit.com
3135,AL JABER TRADING COMPANY FOR BUILDING MATERIALS, 0135331127, 0135331127, saad@gulfcarton.net
3136,Al Husaini & Al Yahya Insulation Panels Factory, 0138123355, 0138123366, mohammad.rasmi@huyabir.com
3137,Alhamrani United Company for Radiator Fluid Distilled Water Brake Oil and Grease, 0126674394, 0126674394, arsalman@fuchs.com.sa
3138,Saudi Ceramics Company Factory for Red Block, 0114644244, 0114627569, almegbel@saudiceramics.com
3139,Al Khaleej Plastic Recycling Factory, 0126145252, 026145252, info@gulffactory.com
3140,Al - Khayat Red Brick Factory, 0126633337, 0126626834, a.hawara@el-khayyat.com
3141,Gold Company Limited - Saudi Gold, 0114980416, 0114981272, goldco@awalnet.net.sa
3143,Al Raed Industrial Trading & Contracting Factory, 0112651345, 0112651346, alraed@alraed.com.sa
3144,Al Rowad International Company for Industrial Membranes, 0138121360, 0138121759, psi@alrowad.biz
3145,Riyadh Company for the production of polypropylene bags, 0112653924, 0112653923, info@ahgpolybags.com
3146,Riyadh Company for Salt Industry, 0112652552, 0112650383, info@risa-solt.com
3147,Riyadh Metal Industries Factory, 0114980712, 0114985083, aahabab@yahoo.com
3148,Factory of external fasteners for the manufacture of aluminum products, 0126547157, 026547157, info@arsco.com.sa
3149,Al Sarti Perfumes Factory , 0125203752, 025203752, sassati@sassatbestwmes.com
3150,United Oriental Valves Company , 0114722222, 0112915170, abco@yhoo.com
3151,Factory Gold Slide Company, 0138147161, 0138356308, khaled.tawab@goldenchip.com.sa
3153,Al - Shamrani Factory for Trading Industry and Contracting, 0138121109, 0138121157, abubasil17@hotmail.com
3156,Al - Azzam Arabia Factory for Cement Products, 0176143680, 076143680, a.awad@azaamarabia.com
3157,Al - Alam International Food Industries Factory, 0126355344, 0126376263, basil@alemad.net
3159,Al - Fanar Construction Systems Factory, 0112755999, 0112756699, saud.owis@alfanar.com
3160,The company is an effective power company for transformers and electric panels, 0124042985, 0114059325, mf@al-jazea.com.sa
3161,Al Majed Company for Oud Factory, 0114999993, 0114566072, almajed4oud@yahoo.com
3162,The company is a brilliant diamond manufacturer for shrink films, 0122882587, 022882587, jafar@almascoltd.com
3163,United Group Company Factory , 0125202756, 025202756, ugalco@yahoo.com
3164,Saudi Fodder Mixer Factory Co. Ltd., 0138087145, 0138323555, inof@saudimix.com
3165,Arab Castings Factory Co. Ltd. (Al Hilali), 0112651001, 0112651441, info@scf-chandeliers.com.sa
3166,United Certified Plastic Products Factory, 0126832139, 026832139, rami_alamodi@yahoo.com
3168,Kingdom Chocolate Factory, 0114585981, 0114587134, info@mamlakafoodfactory.com
3169,Al - Muhaidib Technical Services Factory, 0138121299, 0138121099, dawood.alrashed@mts.com.sa
3170,Al Mawakab Company for Furniture and Wood Industries, 0122684850, 022684850, info@woodroc.com
3172,Al-Najem Metal Products Co. Ltd. , 0125200769, 025200769, JASCO914@hotmail.com
3174,FACTORY CO. LTD , 0125204553, 025204553, info@saudithobe.com
3175,Al Yamama Steel Industries Factory, 0126371515, 0126376850, faisal@yamsteel.com
3181,Imadad Al Nahas National Cable & Wire Factory , 0114997300, 014982027, milcolighting@hotmail.com
3182,A factory producing and manufacturing chemical fertilizers and their derivatives, 0126270000, 0126271111, Mohammedbaaboud@yahoo.com
3183,Ahmed Saleh Kaki Factory for Aluminum Products, 0126645552, 026645552, kakisons@saudionline.com.sa
3184,Abu Bakr Bawazeer & Co Co. For Iron Rolling, 0122801491, 022801491, abo_salem69@hotmail.com
3185,Aga Pharmaceutical Industries Factory, 0114767432, 0114761275, skazi@ajapharma.com
3186,Ahmed Baghdadi factory and a partner for decorative accessories industry ltd, 0148274145, 048274145, Baghdadadi.co@hotmail.com
3187,Factory of RDC Arabia Arabia Drilling Inc , 0138123767, 0138877955, alials@rowancompanies.com
3188,Arkaz Sharq Building Materials Factory, 0138820415, 0138822154, accountsppsa@permapipe.com
3189,Arkaz Sharq Building Materials Factory, 0138126541, 038126541, Mohammed.albahlouli@arkaz.com
3190,Asaad Saeed Factory for Precast Concrete Parts, 0114790900, 0114765284, info@assadsaid.com
3191,Solar Systems Company for Solar Systems, 0138128665, 038128665, sales@national-solar.net
3192,Al Tawi Ready Mix Concrete Factory / Al Madinah Al Munawwarah Branch, 0122875841, 022875841, saleh@altawi.com.sa
3193,Ben Herakil Granite & Marble Factory, 0126252285, 026252285, abdullah0227@yahoo.com
3194,Factory Building Company for Advanced Iron Products, 0138879400, 0138874066, abdulaziz@bina-steel.com
3195,TALA AL JAWD Dates Factory, 0126518839, 026518839, general@hamwi-int.com
3196,Tabuk Steel Factory, 0144252117, 0144252117, bestway_sa@hotmail.com
3197,Factory Trading & Development Equipment Machinery & Equipments Chemicals - Satisfaction, 0138876340, 0138876260, amr.khelosy@redachem.com
3198,Advanced plastic compounds technology plant for the production of polyethylene, 0138969528, 0138969529, fathi@sealtech.com
3199,Lighting Technology Company Factory, 0114777700, 0114789469, mohammed@alnasser.com
3200,Electrical & Mechanical Panel Company, 0163822900, 0163822686, younes@ftinco.com
3201,Building Materials Technology Factory, 0138144894, 0138144895, akateef.swated@tecon.co
3202,Meat Miner Refrigerators Factory, 0126369608, 026369608, info@munajem.com
3203,JAL DEVELOPMENT COMPANY FOR CEMENT PRODUCTS , 0114741991, 0114793893, tariq-alterais@hotmail.com
3204,Al-Arabi Factory Co. Ltd., 0138344545, 0138123437, psechr@psgsa.com.sa
3205,Saudi Group 5 Pipe Factory, 0138574150, 0138123122, hossam@g5s.com
3206,Gulf Bridge Industries & Works Co. Ltd., 0138121027, 0112652724, remksa@yahoo.com
3207,Juhayna Factory for Mattresses Sponge and Latex, 0126644930, 0126644891, aaaassaf@hotmail.com
3208,Factory quality industry, 0112701335, 0112701334, riyadhon@hotmail.com
3209,GE Oil & Gas Priscurentoral Middle East Ltd , 0138140074, 0138080377, mufed.al-ibrahim@ge.com
3211,Hossam & Bassam Abdullatif Al - Farra Saudi Industries Factory, 0138125000, 0138126000, hsameh67@yahoo.com
3212,Hassan & Shannan Al Zahrani Factory for Polystyrene Packaging , 0138177577, 0138123789, shannan@shazco.com
3214,Halwani Brothers Company Factory, 0126376667, 0126376667, info@halwani.com.sa
3218,Smart Energy Services Company for Chemicals, 0138144488, 0138473755, sa_shahry@yahoo.com
3219,Khuzam Al - Deraiya Steel & Safety Equipments Factory, 0112652288, 0112651277, khalid@albayn.com.sa
3220,The factory of Khairat Watani, 0172239925, 072239925, kh_watani@hotmail.com
3221,Khairi Fireproof Insulated Doors Factory, 0126200513, 026200513, abufaris@anitedwelding.com
3222,Saudi Granite House Factory, 0112634377, 0112634377, awag11565@yahoo.com
3223,Dar Al-METAL Industry Factory, 0112421401, 0112420958, info@darmetal.com.sa
3224,Delmon Industrial & Mechanical Insulation Factory  , 0138121771, 0138571900, naadi@delmon.com
3226,DONIA METAL FACTORY FOR METAL INDUSTRIES, 0126505020, 0126505022, z4bm@zagzoog.com
3227,Rashed Abdulrahman Al Rashed Factory For Precast Concrete Wires, 0138876181, 038876181, azoz_2030@hotmail.com
3228,Stilkis Al Jeraisy Co. Ltd., 0112650031, 0112650049, msaadi@steelcasejeraisy.com
3229,Saad Sulaiman Al - Shuaieer plant for feed and seeds, 0112137777, 0112961330, waledzad@hotmail.com
3230,Kingdom Scaffolding Company Ltd., 0138433933, 0138421115, laekali@gmail.com
3231,Sanabel Al Salam Food Industries Factory, 0126374477, 026374477, aalahdal@safm.com.sa
3233,Sanabel Al Salam Food Industries Factory, 0114963344, 0114965888, majdi@safm.com.sa
3234,Saudi Syed Bakers Factory Co. Ltd., 0172382177, 0172381305, gamals@saudi.switzgroup.com
3235,Saudi Syed Bakers Factory Co. Ltd. , 0112653199, 0112653202, gamals@saudi.switzgroup.com
3236,Factory Sika Saudi Arabia Ltd, 0138641717, 0138891977, tde@tde-ksa.com
3237,Siyoub Arabia Factory for Cement Products, 0112227877, 0112227876, syoob@yahoo.com
3238,Arab Champion Factory, 0138122100, 0138122040, saeed.banaker@champ-tech.com
3239,Al - Madina Holding Company for Cement Products, 0148551111, 048551111, info@mnco.com.sa
3240,Saleh Al - Salman & Sons Co. For Sweets & Food, 0163818051, 0163249770, al.salman@hotmail.com
3241,Saleh & Abdul Aziz Abu Hussein Chemical Factory, 0138990114, 038990114, abnew@abahsain.net
3243,Afia International Company for edible oils, 0126350000, 0126373015, wsibiani@savola.com
3246,Ayed Deheem Al - Hamoud Factory for Cement and Ready Mix Concrete Products, 0112788884, 0112788880, a.alaied@aiedco.com
3247,Abdul Aziz Al - Sheikh & Partners Factory, 0112652249, 0112652277, abdaz_al@yahoo.com
3248,Abdullah & Abdul Aziz Kano factory for fuel additives, 0122636171, 0122636171, propertywp@jed.kanoosa.com
3249,Trans Gulf Industrial Systems Factory, 0138975654, 0138975654, amg@pgisystem.com
3250,Trans Gulf Factory for Ready Mix Concrete, 0114644898, 014644898, rashed15@hotmail.com
3251,Aseeb Paints & Pastes Factory, 0114647034, 0114645688, jababer@yahoo.com
3252,Akal Electrical Products Factory, 0114984433, 0114980382, khalidsuf@akel.com.sa
3253,Ali Hassan El Saud & Sons Factory For Industrial Marble & Granite Products , 0138960189, 0138949900, ascabdl@gmail.com
3255,Ali & Reza Mohammed Al Fardan Boat Production Factory, 0138020153, 0138020438, abco@yhoo.com
3256,Omar Saleh Shamlan Factory and Glass Partner, 0138123888, 0138123887, omar@shmlan.com.sa
3257,Awad Saad Mashbab Bin Dhafra Factory and a partner for ceramic sanitary products, 0172239188, 072239188, saadgasam@hotmail.com
3258,Eastern Gas Company Factory, 0138123232, 0138123131, alhedaithy@eastgas.com.sa
3259,FAZHA INDUSTRIAL CO, 0114161317, 0114162128, info@fazahco.com
3261,Fluorite Valve Factory, 0138080349, 0138987079, khalid.aleidi@gmail.com
3263,Saudi Vetonit Building Materials Factory, 0138595974, 0138574272, a.alyami@saudivetonit.com
3264,Qabas perfume factory , 0125222988, 025222988, mohammad@gabas.com
3265,Coz East Paper Products Factory, 0138503256, 0138503256, ss_113@hotmail.com
3266,Coz East Paper Products Factory , 0138593256, 0138565772, alghamdios@aggcom.net
3267,Lotfin Factory for the production of diapers, 0162350832, 0162350832, ahmed288188@hotmail.com
3268,Magdy Ahmed Al Metwally Steel Factory, 0126482179, 026482179, pd@msp.com.sa
3269,Al - Batterjee Group Company for Primary Plastic Products, 0126380043, 026380043, group@batterjee.com
3270,Al Banawi Group for Packaging Industry Co. Ltd., 0126377985, 026377985, nhaddad@banawigroup.com
3271,Al-Banawi Group Co. Ltd., 0126380051, 026380051, kalsayri@ashwatech.com
3272,Zamil Group Company for Machinery and Equipment, 0138136276, 0138136309, omar.bowshal@zamilts.com
3274,Al - Mahaalat Factory for Chemical Industries, 0126145840, 026145840, dm0s@hotmail.com
3275,Mohammed Al Ali Al Khudair & Sons Road Plates Factory  , 0112652244, 0112651294, info@alkhodair.com
3276,Mohammed Salman Al Mohanna & Bros. Factory For Food Products, 0113536221, 0135362211, a.g10777@yahoo.com
3277,Mahmoud Saeed Light Food Factory, 0126366366, 0126372043, abady@msgi-sa.com
3278,Al - Qabbani Trading Company   , 0112652848, 0112651104, mnk@cyberia.net.sa
3279,Mestor Saad Merva Al Shahrani Cement Products Factory, 0172226961, 0122658588, info@mastour.com
3280,Hala Press Company Factory, 0112657000, 0112658000, mohammed.alharthy@sppc.com.sa
3281,Maamar Real Estate Holding Company for Rubber Recycling, 0135331078, 035331078, k.kh7@hotmail.com
3282,Maamar Real Estate Company for Rubber Recycling, 0112402458, 012402458, asast25@yahoo.com
3284,Factory Building Components Company, 0138108111, 0138124579, marketing@bcoms.com
3285,Al - Yousef Factory for Metal Products, 0126482179, 0126482179, monquez.alyousef@hotmail.com
3286,Factory Building Materials Company for Metal Industries, 0126828352, 026828352, khalid@bpc.com.sa
3287,Factory Technical Sealants Co. Ltd., 0138472823, 0138471485, s.alhadrami@technicalseal.com.sa
3288,Najd & Qassim Food Industries Factory, 0163222000, 0163220202, saleh@alsharidah-group.myftp.com
3289,Factory Eagle South for dialysis filters, 0114655370, 0114631045, saied.alsurf@southeagle.com.sa
3290,Nesma Modern Refurbishing Company Ltd., 0126587306, 026587306, nesmarecycling@nesma.com
3291,Nesma United Gifts and Gift Boxes Factory, 0126634884, 026634884, izubaidi@nesma.net.sa
3292,Naseem El Tayebat Factory For Ice Cream, 0138127145, 0114643568, fade125332@hotmail.com
3293,Saudi Oasis Factory for Plastic Products, 0138086924, 0138872987, jkjm@hotmail.com
3294,Saudi Oasis Factory for Plastic Products , 0138879400, 0138874066, abdulaziz@soppco.com
3295,Redan Valley Cement Products Factory, 0148458801, 048458801, wadiredan@gmail.com
3296,Waleed Saleh Al Hamed & Partners Meat Factory, 0138339680, 0138339158, waleedsalhamed@yahoo.com
3297,Hussein Omar Al - Attas Metal Products Factory, 0126484630, 0126482179, itmitwalli@gmail.com
3298,Shuaa Advertising & Marketing Services, 0126374349, 026374349, almulla-factory@hotmail.com
3300,Shu'ayl Al Qaser Glass Factory, 0114215577, 0114221888, abdu359@yahoo.com
3301,Shefa United Medical Supplies Factory, 0118802739, 0118802739, info@shifaaunited.com
3302,Shamsan Al - Suhaibi Electrical Distribution Panels Factory, 0126380673, 026380673, shamsan@alsohaibi.com.sa
3303,Shamsan Factory for water pumps and metal castings, 0126360370, 0126378061, shamsan@alsohaibi.com.sa
3304,Shamsan Factory For Fryers & Switches, 0126378061, 026378061, shamsan@alsohaibi.com.sa
3305,Factory saw juices, 0126363159, 026363159, info@shahd.com.sa
3306,A delicious factory for frozen meat and vegetable products, 0114980802, 0114983722, info@shahia.com.sa
3307,SHOHAQ TIBA FOR BLOCK PRODUCTION, 0148276391, 048276391, shawahq@hotmail.com
3308,Shwaimy Ajyan Al Dosary Plastic Factory, 0115453300, 0115453030, a.refaat@taniawater.com
3309,Saber Aluminum & Glass Factory, 0138471782, 0138471782, alum@sabergroup.com.sa
3310,SAFCO CLEANING & CLEANING FACTORY, 0112650050, 0112650187, safcows@yahoo.com
3311,Savola Packaging Factory - Plastic Packaging Factory, 0114985950, 0114985666, adakheel@savola.com
3316,Net Factory For Plastic, 0112651412, 0112651322, rb@safiawater.com
3317,Saleh Ibrahim Al Dakhil Factory For Wooden Furniture & Doors, 0163236664, 063236664, s.aldkheel_1388@hotmail.com
3318,Saleh Ahmed Bin Afif Cosmetics Factory, 0126040360, 026040360, salehbinafif@hotmail.com
3319,Saleh Salem Al Haidar Factory For Marble & Natural Stone, 0175436226, 075436226, rans00@hotmail.com
3320,Saleh Abdulrahman Al - Muhaisin Factory For Glue, 0148441666, 048441666, abdulrhman@masknee.com
3321,Saleh Abdulrahman Al Mousa Plastic Factory, 0165313373, 065313373, asas_1407@hotmail.com
3322,Saleh Mameer Factory For Metal Installations & Refrigeration, 0148392924, 048392924, maamas74@yahoo.fr
3323,Saleh & Hamad Al Rajhi Metal Furniture Factory, 0114981316, 0114981320, sh.alrajhi@yahoo.com
3324,Saleh and Abdul Aziz Abahsin Plant for Oil Blending, 0138984045, 0138571570, abnew@abahsain.net
3325,Sahara Qassim Heaters Factory, 0163220563, 063220563, amir-mohmoud2006@yahoo.com
3327,Sahary Architectural Works Factory, 0138394558, 0138394557, aymanbdair@hotmail.com
3328,Sahary Foodstuff Factory, 0148484500, 0148488057, gm@saharygroup.com
3329,Jazan Desert Recycling Factory, 0173274681, 073274681, mudhesh62@gmail.com
3330,Yamama Stone & Marble Factory, 0112751177, 0112477888, ymamhstone@hotmail.com
3331,SAFA ARAB PLASTIC INDUSTRY FACTORY, 0126360031, 0126180802, safaalarabia@hotmail.com
3333,Safa El Madina Factory For Sponge, 0162985201, 0112985206, saad2620@yahoo.com
3336,Saqr Al Jazeerah Air Conditioner & Coolant Factory, 0114790316, 0114794519, j2falcon@hotmail.com
3338,Saqr Al Jazeerah Air Conditioner & Coolant Factory , 0125221943, 025221943, jzfalcon@hotmail.com
3341,Saqr Al - Jazeerah factory for air conditioners and refrigerators, 0112650259, 0112650347, jzfalcon@hotmail.com
3342,Salah Faraj Mohammed Abed Glass Factory, 0172383160, 072383160, salah99920111@hotmail.com
3343,Salah Mahmoud Mustafa Ayad Marble Factory, 0172232953, 072232953, salah5500ayyad@hotmail.com
3344,Hala Modern Food Factory, 0122681455, 022681455, INFO@SELAFOODS.COM
3345,Saudi Thermal Industries Factory , 0138111519, 0138112754, jamil.alami@sri.com.sa
3346,SOUTH JAZEERA FACTORY FOR PAPER PLASTIC CASSETTE AND LASER, 0126374160, 026374160, tuntuye@hotmail.com
3349,Sayab Plastic Factory, 0114225563, 0112712646, ali@soyab.com
3350,Amiantit Bank Factory, 0138121001, 0138121223, raalhagri@amiantit.com
3351,Diaa Al - Din Abdul Qader Mohammed Hasret Factory For Metal Doors, 0126364566, 026364566, dhiyahasrat@yahoo.com
